symbol,status,type,distance_pct,trend,ltp,virgin_level,pivot,tc,bc,width_pct,width_percentile,narrow_threshold_pct,days_virgin,source_date,session_date,is_virgin,is_narrow,narrow_percentile_used,scanned_at
BAYERCROP,4078.35,V+N,0.77,above,4109.8,4078.35,4077.9,4078.35,4077.45,0.022,2.7,0.031,1,2026-07-14,2026-07-15,True,True,5.0,2026-07-15T15:12:08+05:30
DIVISLAB,7145.25,V+W,1.45,above,7249.0,7145.25,7102.0,7145.25,7058.75,1.218,97.0,0.024,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
JUBLPHARMA,974.90,V,5.9,above,1032.4,974.9,974.75,974.9,974.6,0.031,6.3,0.023,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
BELRISE,232.54,V,0.89,above,234.61,232.54,232.47,232.54,232.4,0.056,6.7,0.033,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
CARBORUNIV,1065.95,V,1.44,above,1081.3,1065.95,1065.7,1065.95,1065.45,0.047,7.1,0.031,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
UNOMINDA,1136.55,V,1.83,above,1157.4,1136.55,1136.1,1136.55,1135.65,0.079,9.3,0.05,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
TMCV,417.70,V,1.5,above,423.95,417.7,417.6,417.7,417.5,0.048,9.5,0.021,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
ASHOKLEY,155.38,V,0.77,above,156.57,155.38,155.31,155.38,155.25,0.079,11.8,0.035,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
IGIL,343.57,V,2.91,above,353.55,343.57,343.38,343.57,343.2,0.107,11.8,0.028,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
GABRIEL,1250.60,V,8.11,above,1352.0,1250.6,1249.93,1250.6,1249.27,0.107,12.1,0.033,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
MRF,130974.17,V,0.48,above,131600.0,130974.17,130923.33,130974.17,130872.5,0.078,12.3,0.037,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
TRITURBINE,607.41,V,5.27,above,639.4,607.41,607.17,607.41,606.93,0.08,12.9,0.022,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
ABCAPITAL,398.95,V,1.39,above,404.5,398.95,398.65,398.95,398.35,0.151,14.5,0.037,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
AMBER,7780.83,V,0.76,above,7840.0,7780.83,7775.17,7780.83,7769.5,0.146,15.9,0.05,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
CHOLAFIN,1770.18,V,1.7,above,1800.2,1770.18,1768.87,1770.18,1767.55,0.149,16.7,0.046,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
BPCL,305.11,V,1.36,above,309.25,305.11,304.87,305.11,304.62,0.159,21.9,0.022,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
BANDHANBNK,208.50,V,3.91,above,216.66,208.5,208.29,208.5,208.08,0.202,22.7,0.027,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
LICHSGFIN,549.24,V,0.07,above,549.65,549.24,548.88,549.24,548.52,0.131,23.3,0.021,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
KEC,491.50,V,3.11,above,506.8,491.5,490.97,491.5,490.43,0.217,23.6,0.03,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
INDIGO,5104.67,V,1.29,above,5170.5,5104.67,5101.33,5104.67,5098.0,0.131,23.8,0.023,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
HINDPETRO,385.57,V,2.29,above,394.4,385.57,385.15,385.57,384.72,0.221,27.4,0.034,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
IEX,117.42,V,1.12,above,118.73,117.42,117.3,117.42,117.19,0.196,28.5,0.031,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
DIXON,13345.83,V,2.1,above,13626.0,13345.83,13326.67,13345.83,13307.5,0.288,29.6,0.05,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
FORTIS,968.59,V,0.87,above,977.0,968.59,967.43,968.59,966.27,0.239,30.4,0.034,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
PIDILITIND,1560.15,V,0.52,above,1568.2,1560.15,1558.57,1560.15,1556.98,0.203,39.5,0.026,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
JSWINFRA,345.78,V,-2.57,below,336.9,345.78,346.27,346.76,345.78,0.284,40.3,0.029,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
HSCL,670.06,V,1.6,above,680.75,670.06,668.72,670.06,667.38,0.401,41.6,0.035,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
FLUOROCHEM,3917.92,V,5.41,above,4130.0,3917.92,3911.93,3917.92,3905.95,0.306,43.6,0.022,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
MANKIND,2526.80,V,1.18,above,2556.7,2526.8,2522.5,2526.8,2518.2,0.341,44.4,0.035,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
UTIAMC,980.12,V,-1.13,below,969.05,980.12,982.02,983.91,980.12,0.385,44.4,0.043,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
SHREECEM,26245.00,V,2.63,above,26935.0,26245.0,26210.0,26245.0,26175.0,0.267,45.5,0.013,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
CYIENT,854.34,V,-1.72,below,839.65,854.34,855.93,857.52,854.34,0.372,45.8,0.024,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
APTUS,289.51,V,2.0,above,295.3,289.51,288.87,289.51,288.23,0.444,47.1,0.024,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
DALBHARAT,1758.62,V,3.73,above,1824.2,1758.62,1755.53,1758.62,1752.45,0.351,48.2,0.028,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
ULTRACEMCO,11480.33,V,2.84,above,11806.0,11480.33,11464.67,11480.33,11449.0,0.273,51.2,0.023,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
TITAGARH,856.29,V,2.69,above,879.3,856.29,853.88,856.29,851.48,0.564,52.6,0.051,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
HYUNDAI,1971.45,V,1.61,above,2003.2,1971.45,1967.53,1971.45,1963.62,0.398,52.9,0.027,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
GVT&D,4484.23,V,4.59,above,4690.0,4484.23,4469.87,4484.23,4455.5,0.643,55.3,0.022,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
KPRMILL,1113.22,V,2.99,above,1146.5,1113.22,1110.13,1113.22,1107.05,0.555,57.8,0.054,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
HFCL,211.96,V,5.2,above,222.99,211.96,211.14,211.96,210.33,0.775,58.1,0.028,1,2026-07-14,2026-07-15,True,False,5.0,2026-07-15T15:12:08+05:30
