symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
LAURUSLABS,1H,bullish,standard,1929.4,1915.0,0.75,2.57,1915.0,1797.3,2026-08-27,20,False,True,2026-08-28T02:05:17+05:30
PHOENIXLTD,1H,bearish,standard,1901.7,1906.8,-0.27,4.49,1959.5,1906.8,2026-08-27,20,False,True,2026-08-28T02:05:17+05:30
HUDCO,1H,bearish,standard,182.0,182.78,-0.43,2.53,188.59,182.78,2026-08-27,20,False,True,2026-08-28T02:05:17+05:30
KEC,1H,bearish,standard,420.45,421.85,-0.33,1.8,433.8,421.85,2026-08-27,20,False,True,2026-08-28T02:05:17+05:30
HAVELLS,1H,bearish,standard,1241.0,1252.5,-0.92,1.39,1296.8,1252.5,2026-08-27,20,False,True,2026-08-28T02:05:17+05:30
CYIENT,1D,bullish,standard,1047.7,989.0,5.94,14.03,989.0,837.1,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
SBFC,1D,bullish,standard,101.14,95.75,5.63,12.92,95.75,88.96,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
IDBI,1D,bullish,standard,94.75,90.9,4.24,7.72,90.9,80.5,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
CGCL,1D,bullish,standard,256.35,247.89,3.41,7.47,247.89,217.0,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
JINDALSAW,1D,bullish,standard,302.45,298.4,1.36,6.69,298.4,253.0,2026-08-26,20,True,True,2026-08-28T02:05:17+05:30
MAHABANK,1D,bullish,standard,85.6,83.1,3.01,5.37,83.1,77.2,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
PIRAMALFIN,1D,bullish,standard,2221.4,2218.0,0.15,3.9,2218.0,1970.5,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
CHALET,1D,bullish,standard,912.45,905.0,0.82,3.38,905.0,785.05,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
HINDZINC,1D,bullish,standard,626.5,614.2,2.0,3.21,614.2,527.3,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
CDSL,1D,bullish,standard,1434.0,1412.5,1.52,3.18,1412.5,1312.5,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
ANTHEM,1D,bullish,standard,923.05,904.0,2.11,2.92,904.0,779.65,2026-08-26,20,True,True,2026-08-28T02:05:17+05:30
KARURVYSYA,1D,bullish,standard,354.35,351.8,0.72,2.4,351.8,326.6,2026-08-26,20,True,True,2026-08-28T02:05:17+05:30
KOTAKBANK,1D,bullish,standard,416.7,406.0,2.64,2.11,406.0,385.15,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
SAIL,1D,bullish,standard,194.9,186.89,4.29,2.05,186.89,158.73,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
VEDL,1D,bullish,standard,286.5,286.4,0.03,1.93,286.4,260.1,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
LAURUSLABS,1D,bullish,standard,1887.0,1870.8,0.87,1.79,1870.8,1754.3,2026-08-26,20,True,True,2026-08-28T02:05:17+05:30
MOTILALOFS,1D,bullish,standard,1040.0,1019.9,1.97,1.59,1019.9,835.1,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
COCHINSHIP,1D,bullish,standard,1547.0,1536.9,0.66,1.57,1536.9,1385.5,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
DIVISLAB,1D,bullish,standard,9025.0,8744.5,3.21,1.35,8744.5,7428.5,2026-08-26,20,True,True,2026-08-28T02:05:17+05:30
NMDC,1D,bullish,standard,88.21,87.19,1.17,1.35,87.19,81.05,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
ICICIGI,1D,bearish,standard,1596.9,1602.0,-0.32,7.46,1771.0,1602.0,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
VBL,1D,bearish,standard,421.25,423.85,-0.61,7.09,454.65,423.85,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
CROMPTON,1D,bearish,standard,238.25,241.25,-1.24,2.79,271.0,241.25,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
CANFINHOME,1D,bearish,standard,802.75,802.8,-0.01,1.99,852.35,802.8,2026-08-26,20,False,True,2026-08-28T02:05:17+05:30
