symbol,timeframe,direction,mode,close,level,breakout_pct,volume_ratio,prior_high,prior_low,bar_time,lookback,is_52w_high,strong_close,scanned_at
HINDUNILVR,1H,bullish,standard,2088.0,2087.2,0.04,2.31,2087.2,2050.1,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
PAYTM,1H,bullish,standard,1643.0,1639.0,0.24,1.98,1639.0,1576.9,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
SBILIFE,1H,bearish,standard,1807.0,1809.6,-0.14,2.88,1862.4,1809.6,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
OFSS,1H,bearish,standard,11395.0,11445.0,-0.44,1.28,11956.0,11445.0,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
ASTRAL,1D,bullish,standard,1592.0,1504.4,5.82,25.66,1504.4,1348.7,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
SOLARINDS,1D,bullish,standard,20325.0,19131.7,6.24,8.9,19131.7,17816.0,2026-08-13,20,True,True,2026-08-13T15:20:18+05:30
BDL,1D,bullish,standard,1376.9,1340.0,2.75,5.49,1340.0,1221.0,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
NETWEB,1D,bullish,standard,5196.0,5085.0,2.18,2.71,5085.0,4112.44,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
CONCOR,1D,bullish,standard,535.0,530.08,0.93,2.1,530.08,468.52,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
BLS,1D,bullish,standard,270.9,266.98,1.47,1.99,266.98,226.55,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
AARTIIND,1D,bullish,standard,538.75,534.0,0.89,1.79,534.0,469.0,2026-08-13,20,True,True,2026-08-13T15:20:18+05:30
CLEAN,1D,bullish,standard,835.5,820.6,1.82,1.59,820.6,715.5,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
POONAWALLA,1D,bullish,standard,503.9,494.0,2.0,1.56,494.0,451.0,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
PAGEIND,1D,bearish,standard,36510.0,37695.0,-3.14,5.46,41590.0,37695.0,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
ABLBL,1D,bearish,standard,89.94,90.02,-0.09,4.79,98.67,90.02,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
GICRE,1D,bearish,standard,347.65,351.5,-1.1,2.93,367.5,351.5,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
AIAENG,1D,bearish,standard,4435.1,4460.0,-0.56,1.73,4912.5,4460.0,2026-08-13,20,False,True,2026-08-13T15:20:18+05:30
FINCABLES,1W,bullish,standard,1247.9,1203.9,3.65,15.65,1203.9,765.5,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
GLAND,1W,bullish,standard,2970.9,2614.55,13.63,3.62,2614.55,1579.67,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
PAYTM,1W,bullish,standard,1643.0,1459.5,12.57,2.32,1459.5,930.6,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
SAPPHIRE,1W,bullish,standard,233.0,229.8,1.39,2.18,229.8,139.91,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
SAILIFE,1W,bullish,standard,1452.6,1449.8,0.19,1.94,1449.8,927.05,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
BOSCHLTD,1W,bullish,standard,46650.0,43650.0,6.87,1.82,43650.0,28422.96,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
VIJAYA,1W,bullish,standard,1480.5,1440.0,2.81,1.74,1440.0,848.0,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
NAUKRI,1W,bullish,standard,1352.4,1277.9,5.83,1.73,1277.9,905.51,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
SOLARINDS,1W,bullish,standard,20325.0,19131.7,6.24,1.55,19131.7,11992.91,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
AARTIIND,1W,bullish,standard,538.75,523.1,2.99,1.45,523.1,394.6,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
GODREJCP,1W,bearish,standard,936.9,956.98,-2.1,7.02,1136.05,956.98,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
PIIND,1W,bearish,standard,2483.0,2517.96,-1.39,2.1,3182.68,2517.96,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
INOXWIND,1W,bearish,standard,73.73,73.81,-0.11,1.26,108.27,73.81,2026-08-14,20,False,True,2026-08-13T15:20:18+05:30
NEULANDLAB,1M,bullish,standard,23176.0,20051.94,15.58,1.69,20051.94,10163.49,2026-08-31,20,False,True,2026-08-13T15:20:18+05:30
GLAND,1M,bullish,standard,2970.9,2566.61,15.75,1.6,2566.61,1256.51,2026-08-31,20,False,True,2026-08-13T15:20:18+05:30
NAVINFLUOR,1M,bullish,standard,8290.0,7936.0,4.46,1.35,7936.0,3168.23,2026-08-31,20,False,True,2026-08-13T15:20:18+05:30
GODREJCP,1M,bearish,standard,936.9,953.18,-1.71,1.34,1284.14,953.18,2026-08-31,20,False,True,2026-08-13T15:20:18+05:30
